subject,subject_type,relation,object,object_type,relation_confidence,paper_id,title,publication_date,doi,pmid,evidence_text
gliclazide,Chemical,causes,bradycardia,Disease,0.9937764406204224,42438802,A rare case of gliclazide-induced symptomatic bradycardia in type 2 diabetes mellitus.,2026-07-13,10.1210/jcemcr/luag161,42438802,A rare case of gliclazide-induced symptomatic bradycardia in type 2 diabetes mellitus..
gliclazide,Chemical,treats,breast cancer,Disease,0.9885174036026001,42212674,RGD-Functionalized ZIF-8 Nanocarriers Enable Highly Selective Delivery of Repurposed Gliclazide in Breast Cancer.,2026-05-29,10.1021/acsabm.6c00092,42212674,RGD-Functionalized ZIF-8 Nanocarriers Enable Highly Selective Delivery of Repurposed Gliclazide in Breast Cancer..
gliclazide,Chemical,treats,type 2 diabetes,Disease,0.9858176112174988,41619161,Henagliflozin enhances frontal neural activation and cognitive function versus gliclazide in type 2 diabetes patients with mild cognitive impairment: A 16-week randomized controlled trial.,2026-01-31,10.1007/s40618-025-02775-2,41619161,Henagliflozin enhances frontal neural activation and cognitive function versus gliclazide in type 2 diabetes patients with mild cognitive impairment: A 16-week randomized controlled trial..
gliclazide,Chemical,treats,mild cognitive impairment,Disease,0.7508137226104736,41619161,Henagliflozin enhances frontal neural activation and cognitive function versus gliclazide in type 2 diabetes patients with mild cognitive impairment: A 16-week randomized controlled trial.,2026-01-31,10.1007/s40618-025-02775-2,41619161,Henagliflozin enhances frontal neural activation and cognitive function versus gliclazide in type 2 diabetes patients with mild cognitive impairment: A 16-week randomized controlled trial..
gliclazide,Chemical,treats,type 2 diabetes,Disease,0.9201418161392212,41442030,Correction to: Cost-Consequences of Adding Gliclazide Modified Release to Metformin in Patients with Uncontrolled Type 2 Diabetes in the United Arab Emirates.,2026-02-01,10.1007/s12325-025-03451-w,41442030,Correction to: Cost-Consequences of Adding Gliclazide Modified Release to Metformin in Patients with Uncontrolled Type 2 Diabetes in the United Arab Emirates..
